No.,Ticker,Index,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Cash/sh,Dividend,Payout Ratio,EPS next Q,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Year,Beta,SMA50,52W High,52W Low,All-Time High,All-Time Low,Earnings,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,NCAV,Fundamental Score
3439,RMAX,RUT,Real Estate,Real Estate Services,USA,146970000.0,-999.0,5.57,-999.0,0.45,0.36,1.17,6.73,6.88,0.0572,-999.0,0.22,-0.0686,0.139,-999.0,-999.0,0.1006,-0.0574,-7.2756,0.1375,0.0629,0.9111,-0.0798,0.077,-0.1547,-0.0782,-999.0,-999.0,1.15,1.18,0.643,-0.2119,-0.0832,-0.0074,-0.3542,-0.557,1.39,-0.1073,-0.6074,0.1105,-0.8809,0.1105,Feb 22/a,8.04,1387072.0,True,True,-26.08,3
464,BCOV,RUT,Technology,Software - Application,USA,80430000.0,-999.0,-999.0,-999.0,0.4,0.86,4.32,-999.0,0.43,-999.0,-999.0,0.01,-1.0,0.875,-0.0625,0.15,0.0423,0.0186,0.5489,0.0543,0.0857,0.8132,0.0016,0.0369,-0.2332,-0.2057,0.67,0.67,0.18,0.23,0.6135,-0.1138,-0.0515,-0.098,-0.2333,-0.5789,0.65,-0.1244,-0.6013,0.0166,-0.9278,0.0166,Feb 22/a,1.84,385744.0,True,True,-1.185,4
3387,RELL,RUT,Technology,Electronic Components,USA,128600000.0,16.27,12.87,0.81,0.57,0.81,5.65,-999.0,1.62,0.0263,0.1816,0.02,-0.8705,2.9444,0.3454,0.2,0.1061,-0.3304,-1.4865,0.1566,0.0046,0.583,0.231,0.0583,0.0535,0.0514,4.63,1.38,0.01,0.01,0.3037,0.0363,-0.0076,0.0804,-0.2797,-0.5788,1.04,0.0069,-0.5879,0.1312,-0.6645,2.7004,Apr 10/a,9.14,109063.0,True,True,10.527,6
3738,SPWH,RUT,Consumer Cyclical,Specialty Retail,USA,142910000.0,-999.0,28.3,-999.0,0.11,0.54,45.51,-999.0,0.08,-999.0,0.0,-0.35,0.7594,1.8766,-999.0,0.2072,0.1436,-0.0234,-1.8025,0.0416,0.0384,0.8869,-0.0736,0.1,-0.104,-0.0507,1.21,0.08,1.16,1.88,0.2484,-0.0225,0.2283,0.1302,-0.1396,-0.5386,0.73,0.082,-0.5684,0.3943,-0.7931,0.3943,Apr 03/a,3.82,253263.0,True,True,-6.027,3
3891,TELA,RUT,Healthcare,Medical Devices,USA,123990000.0,-999.0,-999.0,-999.0,2.12,6.53,2.65,-999.0,1.9,-999.0,-999.0,-0.49,0.1696,0.2987,0.0517,-999.0,0.4961,0.4626,-0.0106,0.3122,0.0476,0.6002,0.1715,0.0425,-2.8123,-0.764,4.23,3.45,2.24,2.27,0.6862,-0.7983,-0.1129,-0.2141,-0.257,-0.5501,0.95,-0.2127,-0.5668,0.1877,-0.7864,0.1877,Mar 21/a,5.03,109602.0,True,False,0.51,4
336,ASYS,-999,Technology,Semiconductor Equipment & Materials,USA,74070000.0,-999.0,26.1,-999.0,0.63,0.93,4.35,-999.0,1.2,-999.0,-999.0,-0.14,0.0674,1.241,-999.0,0.2,0.047,0.156,-2.367,0.1998,0.0381,0.664,-0.0081,0.0058,-0.2183,-0.1971,2.99,1.69,0.22,0.26,0.3511,-0.1645,-0.0351,0.083,0.2639,-0.4345,1.43,0.1165,-0.5643,0.549,-0.8305,4.568,Feb 09/a,5.22,415800.0,True,True,2.309,5
3441,RMBL,-999,Consumer Cyclical,Auto & Truck Dealerships,USA,207560000.0,-999.0,-999.0,-999.0,0.15,1.97,2.7,-999.0,2.19,-999.0,-999.0,-0.32,0.933,0.721,0.1858,0.25,1.121,-0.1581,0.561,0.3808,0.3467,0.4512,0.0209,0.0408,-1.3775,-0.4093,1.22,0.34,3.98,7.31,0.2456,-0.1563,-0.0851,-0.1915,-0.2566,0.0008,2.06,-0.1323,-0.5629,0.2086,-0.9731,0.97,Mar 14/b,5.91,18938090.0,True,False,-9.707,3
1368,EP,RUT,Energy,Oil & Gas E&P,USA,148600000.0,-999.0,-999.0,-999.0,3.7,4.23,19.08,-999.0,0.3,-999.0,-999.0,-999.0,-999.0,-999.0,-0.1215,-999.0,3.972,0.1263,-0.9797,0.2831,0.21,0.3854,0.4927,0.0448,-0.4286,-0.311,0.75,0.69,0.15,0.19,0.0902,-0.3106,0.135,-0.0068,-0.3689,-0.5623,1.28,-0.0102,-0.5623,0.2581,-0.9431,180.25,Mar 28/a,5.8,10076607.0,True,True,-1.519,3
1953,HQI,RUT,Industrials,Staffing & Employment Services,USA,184100000.0,29.58,18.39,-999.0,4.86,2.92,137.39,17.5,0.1,0.0183,0.5399,0.1,0.2553,0.2119,-0.0909,-999.0,0.2773,0.2131,-0.9939,0.6137,0.0022,0.1199,-0.0722,0.0224,0.1064,0.0976,1.44,1.44,0.0,0.24,0.9262,0.162,0.0154,0.0499,-0.0906,-0.3929,1.03,0.0165,-0.5524,0.1533,-0.8762,20.9167,Mar 21/a,13.15,282538.0,True,True,0.74,5
2438,LTRX,-999,Technology,Communication Equipment,USA,118810000.0,-999.0,6.6,-999.0,0.86,1.55,5.36,6.0,0.59,-999.0,-999.0,0.1,0.7217,0.2121,-999.0,0.2,0.265,0.1756,0.0334,0.1886,0.0053,0.4238,0.1496,0.0081,-0.1177,-0.0911,2.08,1.19,0.31,0.38,0.3714,-0.0667,-0.1096,-0.1788,-0.4627,-0.247,2.11,-0.2772,-0.5439,0.0096,-0.9573,2.9625,Feb 08/a,3.17,130115.0,True,False,0.669,4
1785,GOCO,RUT,Financial,Insurance Brokers,USA,102040000.0,-999.0,-999.0,-999.0,0.14,0.44,1.12,1.07,9.36,-999.0,-999.0,-0.96,0.2815,0.1606,-999.0,-999.0,0.396,2.9884,0.968,0.1858,0.0042,0.55,-0.0805,0.026,-0.2531,-0.09,-999.0,-999.0,2.21,2.56,0.6397,-0.091,0.001,-0.1717,-0.1982,-0.2528,1.76,-0.1296,-0.5396,0.4922,-0.9733,1.1317,Mar 14/b,10.52,100275.0,True,False,-58.583,3
1003,CRMT,RUT,Consumer Cyclical,Auto & Truck Dealerships,USA,377200000.0,-999.0,19.42,-999.0,0.27,0.8,3.99,-999.0,14.8,-999.0,0.0,0.32,-2.4936,1.6545,-0.0872,-999.0,0.1833,-0.0824,-6.8364,0.1024,0.1749,0.9449,0.0024,0.2164,-0.0616,-0.0234,7.65,7.03,1.71,1.72,0.442,-0.021,-0.0758,-0.0283,-0.0748,-0.2357,1.67,-0.0685,-0.5387,0.0246,-0.6673,353.18,Mar 08/b,59.03,5888540.0,True,True,46.983,4
1961,HROW,RUT,Healthcare,Drug Manufacturers - Specialty & Generic,USA,477710000.0,-999.0,18.9,-999.0,3.67,6.75,5.77,200.72,2.34,-999.0,-999.0,-0.19,0.5822,3.2819,-999.0,0.15,0.2734,0.7883,-8.2291,0.1509,0.0274,0.6465,-0.0454,0.1831,-0.4984,-0.0939,2.82,2.6,2.7,2.71,0.6955,-0.1875,0.0212,0.1945,0.2532,-0.3648,0.51,0.2327,-0.5218,0.7776,-0.9156,26.02,Mar 19/a,13.51,1495160.0,True,False,-2.892,3
150,ALB,S&P 500,Basic Materials,Specialty Chemicals,USA,14510000000.0,9.26,14.44,-999.0,1.51,1.54,16.3,-999.0,7.57,0.0134,0.1198,0.22,-0.8005,0.9256,0.1609,-0.0876,0.3025,-0.101,-1.5481,0.0042,0.0037,0.9513,0.0171,0.1208,0.1809,0.1204,1.47,0.86,0.39,0.46,0.1248,0.1636,-0.0629,0.0323,-0.0918,-0.4109,1.65,0.0158,-0.5011,0.1571,-0.631,19.1551,Feb 14/a,123.45,167314.0,True,True,-28.833,5
2856,NRDY,RUT,Technology,Software - Application,USA,306190000.0,-999.0,26.81,-999.0,1.58,5.8,4.08,-999.0,0.7,-999.0,-999.0,-0.02,-0.8666,2.5556,-5.0931,-999.0,0.1746,0.3177,0.4476,0.4544,0.0036,0.5001,-0.0521,0.0633,-0.8083,-0.7196,2.67,2.67,0.06,0.09,0.6977,-0.2077,-0.0172,-0.0239,-0.0804,-0.299,1.91,-0.0591,-0.4674,0.2408,-0.788,0.7987,Feb 27/a,2.86,473993.0,True,False,0.522,4
3534,SATS,RUT,Technology,Communication Equipment,USA,3610000000.0,-999.0,-999.0,-999.0,0.21,0.18,1.48,-999.0,9.0,-999.0,-999.0,-0.24,0.8148,-1.1126,-0.7175,-999.0,1.684,30.4287,-12.4404,0.5564,0.0013,0.163,-0.0034,0.1298,-0.1456,-0.0398,0.61,0.53,1.15,1.32,0.2041,-0.1,-0.0667,-0.0192,-0.0148,-0.2536,0.69,-0.0177,-0.4637,0.3956,-0.7054,0.6765,Mar 01/b,13.3,2634280.0,True,True,-227.073,3
2724,MYO,-999,Healthcare,Medical Devices,USA,86890000.0,-999.0,-999.0,-999.0,4.52,9.21,9.8,-999.0,0.31,-999.0,-999.0,-0.1,0.2381,0.7656,0.5945,-0.0047,0.5466,0.1769,0.763,0.2433,0.0146,0.338,-0.005,0.0281,-1.0617,-0.8949,2.49,2.16,0.01,0.07,0.6851,-0.4234,-0.0673,-0.1712,-0.289,3.4209,1.53,-0.1019,-0.4534,7.221,-0.9956,7.2656,Mar 07/a,3.05,330000.0,True,False,0.283,5
2063,ILMN,"NDX, S&P 500",Healthcare,Diagnostics & Research,USA,20300000000.0,-999.0,51.88,-999.0,4.51,3.54,19.26,71.98,6.63,-999.0,-999.0,0.04,0.017,1.8157,-999.0,0.229,0.074,0.036,-0.2492,0.005,0.0089,0.9088,0.0273,0.0329,-0.1881,-0.1466,1.66,1.29,0.38,0.39,0.6097,-0.2578,-0.0697,-0.0546,-0.028,-0.4451,1.2,-0.0714,-0.4514,0.4354,-0.7701,148.4152,Feb 08/a,127.75,956127.0,True,True,-11.057,4
1914,HLLY,RUT,Consumer Cyclical,Auto Parts,USA,529830000.0,27.29,9.98,-999.0,0.8,1.18,12.9,6.56,0.34,-999.0,0.0,0.06,0.5649,0.3573,-999.0,-999.0,0.4734,0.01,1.0769,0.5564,0.002,0.3679,-0.0143,0.0433,0.0448,0.0184,3.17,1.12,1.37,1.4,0.3661,0.0291,-0.0045,0.0936,-0.0155,0.7976,1.52,-0.0231,-0.4491,1.1346,-0.6975,1.3616,Feb 28/b,4.44,558585.0,True,True,-3.895,3
1838,GTN,RUT,Communication Services,Broadcasting,USA,580280000.0,-999.0,-999.0,-999.0,0.18,0.29,27.63,1.93,0.22,0.0536,-999.0,0.07,3.6793,-1.1591,-999.0,0.369,0.3018,-0.194,-1.1258,0.1541,0.0014,0.7914,-0.0068,0.0644,-0.0282,-0.0145,1.18,1.14,2.37,2.38,0.1704,-0.039,-0.0554,0.0511,-0.3269,-0.2639,1.55,-0.1575,-0.4415,0.0974,-0.7641,36.3125,Feb 23/b,5.97,165615.0,True,True,-83.576,4
315,ASAN,RUT,Technology,Software - Application,USA,3300000000.0,-999.0,-999.0,-999.0,5.06,10.11,6.36,-999.0,2.31,-999.0,-999.0,-0.08,0.0202,0.9128,-0.2944,-999.0,0.551,0.1391,0.3729,0.6469,0.0152,0.2589,0.0607,0.1495,-0.7527,-0.4393,1.74,1.74,0.79,0.85,0.9011,-0.3939,-0.0516,-0.2038,-0.1349,-0.281,1.23,-0.1656,-0.4408,-0.0007,-0.8992,0.2977,Mar 11/a,14.69,20980503.0,True,False,0.173,4
4193,VOXX,RUT,Technology,Consumer Electronics,USA,187350000.0,-999.0,-999.0,-999.0,0.38,0.59,18.03,18.68,0.46,-999.0,-999.0,-999.0,-999.0,-999.0,-1.0406,0.1,0.0698,-0.0545,-0.7296,0.5784,0.0001,0.4254,-0.0792,0.0277,-0.114,-0.1058,1.81,0.84,0.15,0.16,0.2052,-0.0787,0.0159,0.0752,-0.148,-0.3389,1.3,-0.008,-0.438,0.1442,-0.8857,7.29,Jan 09/a,8.29,15687500.0,True,True,2.475,4
1820,GRWG,RUT,Consumer Cyclical,Specialty Retail,USA,174040000.0,-999.0,-999.0,-999.0,0.77,1.0,2.68,-999.0,1.06,-999.0,-999.0,-0.11,0.5564,0.3326,-0.2861,0.2,0.766,-0.0919,-0.8126,0.071,0.2691,0.3625,-0.0187,0.067,-0.2386,-0.2237,4.77,2.67,0.2,0.24,0.1977,-0.2058,-0.0105,0.3349,0.1551,-0.1398,3.03,0.2293,-0.434,0.5989,-0.9582,0.8867,Mar 13/a,2.83,1976973.0,True,True,1.329,4
4152,VFC,-999,Consumer Cyclical,Apparel Manufacturing,USA,5350000000.0,-999.0,10.28,-999.0,0.49,2.54,5.41,4.77,2.54,0.0567,5.9286,0.03,-0.4817,0.2299,-0.3444,0.009,0.0417,-0.162,-1.0835,0.0574,0.0062,0.8765,0.0046,0.082,-0.282,-0.0957,1.23,0.7,2.79,3.48,0.5134,-0.0708,-0.103,-0.1302,-0.1877,-0.3832,1.49,-0.128,-0.4165,0.0708,-0.8627,25.4483,Feb 06/a,13.76,2112706.0,True,True,-14.329,2
3009,OPK,RUT,Healthcare,Diagnostics & Research,USA,940940000.0,-999.0,-999.0,-999.0,1.09,0.75,9.81,-999.0,0.14,-999.0,-999.0,-0.1,-0.4695,0.2937,0.0156,0.12,0.0329,-0.0189,0.221,0.5298,0.0316,0.2727,-0.0305,0.3117,-0.128,-0.1129,1.55,1.22,0.2,0.24,0.2688,-0.2187,0.125,0.4377,0.4889,-0.0753,1.81,0.3324,-0.3973,0.5853,-0.9297,5.4286,Feb 27/a,1.35,10987836.0,True,True,-0.449,6
1941,HOUS,RUT,Real Estate,Real Estate Services,USA,639820000.0,-999.0,7.39,-999.0,0.11,0.38,5.38,5.56,1.07,-999.0,-999.0,-0.67,1.0778,10.3827,-999.0,-0.012,0.0079,-0.0552,0.7659,0.0528,0.0066,0.9983,-0.0326,0.0764,-0.0563,-0.0228,-999.0,-999.0,1.53,1.85,0.0834,-0.0172,-0.068,0.0141,-0.2361,0.1098,2.46,-0.0962,-0.3889,0.4083,-0.8958,1.756,Feb 15/b,5.76,210121.0,True,True,-32.21,3
2610,MNRO,RUT,Consumer Cyclical,Auto Parts,USA,920920000.0,29.7,18.71,1.98,0.72,1.4,38.61,6.35,0.8,0.0332,0.9491,0.3,0.0353,0.169,-0.0915,0.15,0.0313,-0.0523,-0.089,0.0211,0.008,1.1176,-0.1191,0.1217,0.0504,0.0278,0.56,0.23,0.82,0.93,0.349,0.0261,-0.0235,-0.045,0.0949,-0.3594,1.12,-0.0239,-0.3865,0.3556,-0.6567,17.48,Jan 24/b,30.8,161490.0,True,True,-26.81,3
3681,SMRT,RUT,Technology,Software - Application,USA,521910000.0,-999.0,66.79,-999.0,2.2,1.52,2.42,89.52,1.06,-999.0,-999.0,-0.01,0.8922,3.0909,-999.0,-999.0,0.678,0.4859,0.8496,0.181,0.0022,0.5802,-0.1505,0.0798,-0.0979,-0.101,2.8,2.45,0.0,0.0,0.2091,-0.146,-0.0448,-0.0554,-0.1322,0.0039,1.99,-0.0993,-0.3786,0.1879,-0.8309,0.2611,Mar 05/b,2.56,238435.0,True,False,0.849,4
2841,NOTV,-999,Healthcare,Diagnostics & Research,USA,184140000.0,-999.0,-999.0,-999.0,0.31,0.72,8.37,45.58,0.85,-999.0,-999.0,-0.34,0.8976,0.3333,-1.8424,-999.0,1.3362,0.1038,0.8249,0.1129,0.0212,0.1837,-0.0915,0.0467,-0.1241,-0.0501,1.74,1.15,1.61,1.69,0.2343,-0.0567,-0.3473,-0.1387,0.794,0.6721,3.26,0.0405,-0.3746,3.4348,-0.8823,10.9,Feb 07/a,7.14,163981.0,True,True,-15.147,4
34,ACDC,RUT,Energy,Oil & Gas Equipment & Services,USA,1430000000.0,-999.0,5.94,-999.0,0.54,1.18,56.52,4.99,0.16,-999.0,-999.0,0.05,3.3527,0.7332,-999.0,-0.122,0.7646,-0.3841,-1.8208,0.8855,0.0088,0.107,0.0177,0.3337,-2.4164,-0.0496,0.98,0.62,0.8,0.91,0.1847,-0.0431,0.0718,0.1502,0.1728,-0.3212,0.66,0.147,-0.3743,0.387,-0.6681,0.387,Mar 13/b,8.96,17074422.0,True,True,-7.285,3
1823,GSAT,RUT,Communication Services,Telecom Services,USA,2550000000.0,-999.0,-999.0,-999.0,11.38,6.65,44.87,71.18,0.03,-999.0,-999.0,-0.0,-2.2196,-0.25,-0.2149,0.15,0.1314,0.2688,-1.6667,0.6012,0.0035,0.1874,0.0149,0.039,-0.0713,-0.0409,0.81,0.73,0.94,1.04,0.2955,-0.1342,-0.0884,0.0551,-0.2984,0.1754,0.83,-0.1167,-0.3709,0.5695,-0.9242,7.9333,Feb 28/b,1.34,6158420.0,True,False,-0.214,2
1949,HPP,RUT,Real Estate,REIT - Office,USA,886170000.0,-999.0,-999.0,-999.0,0.93,0.33,7.44,3.87,0.84,0.0209,-999.0,-0.46,-0.076,0.1686,-999.0,0.3648,0.0588,-0.1727,-7.18,0.0284,0.0178,1.0883,-0.0276,0.1525,-0.0535,-0.0208,-999.0,-999.0,1.44,1.44,0.1095,-0.1656,-0.0264,-0.0542,-0.3485,0.0023,1.33,-0.1008,-0.3628,0.5797,-0.8277,0.5797,Feb 12/a,6.28,464082.0,True,True,-30.852,3
1689,GCI,RUT,Communication Services,Publishing,USA,348220000.0,-999.0,9.11,-999.0,0.13,1.1,3.46,6.17,0.68,-999.0,-999.0,-0.27,0.0079,2.2949,-999.0,-999.0,0.1623,-0.0838,-1.9041,0.1702,0.0104,0.6133,0.0045,0.1306,-0.0906,-0.0185,0.83,0.78,3.73,4.07,0.3037,-0.0104,-0.041,0.1759,0.0174,0.3526,2.35,0.0485,-0.35,0.4444,-0.9092,2.7143,Feb 22/b,2.34,490600.0,True,False,-9.54,2
943,COLB,-999,Financial,Banks - Regional,USA,3830000000.0,11.13,7.09,1.39,1.39,0.77,-999.0,7.53,-999.0,0.0784,0.7752,0.54,-0.097,0.1284,-0.055,0.08,0.448,2.7212,-0.4903,0.0094,0.0276,0.8943,-0.0066,0.026,0.0968,0.0368,0.07,-999.0,0.9,0.95,-999.0,0.1266,-0.0512,-0.058,-0.2848,-0.1143,0.68,-0.0326,-0.347,0.0687,-0.6377,4.6857,Jan 24/a,18.36,1083290.0,True,True,,5
1643,FTK,-999,Energy,Oil & Gas Equipment & Services,USA,110630000.0,-999.0,6.85,-999.0,0.59,1.09,18.59,-999.0,0.2,-999.0,-999.0,0.06,-0.0655,0.9007,0.5718,0.1,0.2916,-0.125,1.0456,0.043,0.0789,0.11,-0.0069,0.0165,0.4727,0.2253,1.6,1.33,0.08,0.18,0.1238,0.1314,-0.0027,0.273,0.0448,-0.1049,1.05,0.1634,-0.3456,0.4118,-0.9887,2.1083,Mar 12/a,3.73,336549.0,True,True,0.704,6
352,ATNI,RUT,Communication Services,Telecom Services,USA,436390000.0,-999.0,37.24,-999.0,0.57,0.81,6.99,-999.0,4.05,0.0339,-999.0,-0.04,0.9245,9.0566,-999.0,0.2,0.1176,0.0362,-1.6359,0.3344,0.0,0.6627,-0.0051,0.0192,-0.0259,-0.0161,0.96,0.89,1.12,1.21,0.3646,-0.0242,-0.1017,-0.1303,-0.2541,-0.3111,0.4,-0.1598,-0.3425,0.0293,-0.6812,10.7917,Feb 21/a,28.3,707099.0,True,False,-50.301,2
3942,TLYS,RUT,Consumer Cyclical,Apparel Retail,USA,188510000.0,-999.0,-999.0,-999.0,0.3,1.14,1.98,-999.0,3.17,-999.0,0.0,-0.47,0.0469,0.6011,-999.0,0.12,0.039,-0.0406,-67.7573,0.2623,0.1877,0.779,-0.0734,0.0262,-0.2145,-0.1062,1.68,1.08,1.24,1.6,0.2812,-0.0554,-0.075,-0.1523,-0.1395,-0.1669,1.6,-0.1293,-0.3379,0.0397,-0.6574,1.0606,Mar 14/a,6.29,10055415.0,True,True,-5.095,3
