No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
405,AXR,Real Estate,Real Estate - Development,USA,103610000.0,5.58,-999.0,-999.0,2.53,0.91,4.12,1.6854,0.4662,0.0637,0.3762,-0.0056,2.42,0.1847,-999.0,0.0,0.4568,-0.031,-0.1291,0.6689,-0.8653,9.1387,19.66,2685134.0,True,True,6
1817,GRPN,Communication Services,Internet Content & Information,USA,446700000.0,-999.0,21.8,-999.0,0.85,-999.0,3.18,-999.0,-0.3045,0.0178,0.4951,-0.0871,4.63,-5.8421,0.48,-999.0,-0.2635,0.1598,-0.1369,3.8529,-0.9775,3.8529,14.02,3069745.0,True,True,3
752,CCL,Consumer Cyclical,Travel Services,USA,20770000000.0,-999.0,12.2,-999.0,0.96,3.02,1.92,-999.0,0.9729,0.0015,0.474,0.093,3.32,-0.0106,0.39,4.63,-0.0034,-0.0315,-0.1672,0.9642,-0.7739,7.448,16.44,5114894.0,True,False,2
2246,KFS,Consumer Cyclical,Auto & Truck Dealerships,USA,249520000.0,7.76,-999.0,0.78,2.37,7.66,1.04,-999.0,0.1531,0.0018,0.4606,0.0024,10.54,0.8873,-999.0,1.33,0.2803,0.0807,-0.1679,0.4112,-0.9071,6.0,8.82,118518.0,True,True,3
2342,LC,Financial,Credit Services,USA,991240000.0,25.29,10.44,-999.0,0.78,0.8,11.8,-999.0,0.0806,0.0288,0.726,0.0149,1.61,0.0322,-999.0,0.02,0.0307,0.1555,-0.1722,0.9112,-0.9383,1.095,9.04,623109.0,True,True,4
4023,TTSH,Consumer Cyclical,Home Improvement Retail,USA,280540000.0,25.22,-999.0,1.26,0.74,2.36,0.38,0.0871,0.0282,0.036,0.4351,-0.2518,4.39,0.0905,0.36,1.19,0.0286,-0.0784,-0.1786,0.5479,-0.7787,67.346,6.3,4196799.0,True,True,3
1057,CULP,Consumer Cyclical,Textile Manufacturing,USA,61230000.0,-999.0,14.88,-999.0,0.27,0.73,1.3,-999.0,-0.054,0.0228,0.4934,-0.0138,2.75,-0.2091,1.06,0.06,-0.0847,-0.0858,-0.1807,0.169,-0.8693,3.1133,4.91,183147.0,True,True,4
658,BVS,Healthcare,Medical Devices,USA,285250000.0,-999.0,13.56,-999.0,0.57,1.61,0.43,-0.8253,0.135,0.0146,0.317,0.0206,4.85,-0.4706,0.94,2.31,-0.3621,-0.0439,-0.1828,4.6632,-0.7728,4.6632,4.53,1767090.0,True,True,2
2646,MQ,Technology,Software - Infrastructure,USA,3160000000.0,-999.0,-999.0,-999.0,4.15,2.46,2.5,-999.0,0.7515,0.0014,0.5715,-0.0426,2.97,-0.1488,4.72,0.01,-0.2745,-0.052,-0.1944,0.7486,-0.8404,0.7486,6.05,1042722.0,True,False,4
3335,QTRX,Healthcare,Medical Devices,USA,873870000.0,-999.0,-999.0,-999.0,7.49,2.47,8.66,0.2063,0.3161,0.0054,0.8875,-0.0741,1.87,-0.1061,10.27,0.12,-0.3303,-0.0617,-0.1974,1.3054,-0.7505,2.6609,23.1,475068.0,True,False,5
1046,CTRN,Consumer Cyclical,Apparel Retail,USA,238860000.0,-999.0,-999.0,-999.0,0.32,1.56,6.99,0.474,0.0214,1.1063,0.9979,-0.0966,12.32,-0.0571,0.48,1.59,-0.012,0.0645,-0.1995,0.969,-0.749,3.1746,27.97,10042378.0,True,True,3
1667,GAIA,Communication Services,Entertainment,USA,67650000.0,-999.0,-999.0,-999.0,0.85,0.72,0.49,0.3725,0.1862,0.0194,0.2634,0.0571,0.86,-0.0489,0.49,0.26,-0.0551,0.0519,-0.2033,0.3934,-0.9043,0.4341,2.94,378729.0,True,True,5
3799,STXS,Healthcare,Medical Instruments & Supplies,USA,175510000.0,-999.0,-999.0,-999.0,5.95,9.38,0.28,0.042,0.0063,0.0154,0.4775,-0.0202,2.62,-0.6879,2.2,0.23,-0.7174,0.1898,-0.2095,0.6316,-0.9859,3.617,2.17,305084.0,True,False,5
1630,FSP,Real Estate,REIT - Office,USA,254440000.0,-999.0,-999.0,-999.0,1.63,0.36,0.13,-999.0,-0.115,0.0056,0.6499,-0.0129,0.73,-0.0735,-999.0,0.55,-0.3503,-0.0213,-0.2137,1.2028,-0.8747,1.2028,2.46,202020.0,True,True,3
1563,FLWS,Consumer Cyclical,Specialty Retail,USA,674310000.0,-999.0,24.59,-999.0,0.35,1.52,4.81,-999.0,0.1312,0.0015,0.366,-0.0219,4.35,-0.1163,1.12,0.63,-0.0324,0.0381,-0.2182,0.7389,-0.7377,11.2235,10.39,342450.0,True,True,4
1706,GEG,Financial,Asset Management,USA,58600000.0,1.82,-999.0,0.09,5.8,0.83,3.65,-999.0,1.56,0.1546,0.6023,0.0145,0.67,0.5686,23.46,0.94,3.8646,-0.0314,-0.2199,0.1824,-0.9997,0.4351,1.88,1116586.0,True,True,6
1801,GPMT,Real Estate,REIT - Mortgage,USA,277500000.0,-999.0,33.46,-999.0,1.05,0.31,5.5,-999.0,0.0463,0.0272,0.521,-0.0003,1.46,-0.0599,-999.0,2.47,-0.2704,-0.0626,-0.239,0.3552,-0.7198,2.1704,5.38,141951.0,True,True,3
3562,SCWX,Technology,Software - Infrastructure,USA,659740000.0,-999.0,437.14,-999.0,1.68,1.31,0.67,-0.599,-0.0249,0.0002,0.1046,-0.005,2.69,-0.2174,0.64,0.02,-0.3004,0.1702,-0.2395,0.4167,-0.7155,0.4489,7.65,121618.0,True,False,2
3736,SQ,Technology,Software - Infrastructure,USA,41680000000.0,-999.0,21.7,-999.0,2.0,2.34,11.15,-0.4134,0.5741,0.0062,0.605,-0.0012,1.61,-0.0164,1.9,0.25,-0.0136,-0.0046,-0.2455,0.7472,-0.7653,7.4208,67.88,23398497.0,True,True,4
1888,HFFG,Consumer Defensive,Food Distribution,USA,250170000.0,-999.0,-999.0,-999.0,0.22,0.86,0.26,-0.5542,0.4172,0.0092,0.1648,-0.0224,6.89,-0.0282,0.5,0.68,-0.0071,-0.1119,-0.2536,0.351,-0.868,0.351,4.62,662421.0,True,True,4
2417,LOVE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,356580000.0,18.06,11.25,0.6,0.52,1.92,2.44,-999.0,0.4104,0.0787,0.9666,-0.0563,10.6,0.1196,0.64,0.87,0.0298,-0.0357,-0.2559,0.6234,-0.759,4.7622,23.02,3795508.0,True,True,3
3934,TLS,Technology,Software - Infrastructure,USA,271520000.0,-999.0,-999.0,-999.0,1.79,1.66,1.44,-999.0,0.1314,0.0137,0.6083,0.0105,1.13,-0.2713,4.57,0.07,-0.305,-0.0461,-0.2571,1.549,-0.9068,1.549,3.9,562941.0,True,True,4
1942,HOUS,Real Estate,Real Estate Services,USA,806580000.0,-999.0,160.12,-999.0,0.14,0.45,1.43,-999.0,0.0558,0.0081,1.0169,-0.0321,6.34,-0.2217,-999.0,1.79,-0.0776,0.0673,-0.2589,0.7848,-0.8679,2.4928,7.3,160125.0,True,True,3
1472,FARO,Technology,Scientific & Technical Instruments,USA,426940000.0,-999.0,37.1,-999.0,1.17,1.65,4.22,-0.1092,-0.0307,0.0438,0.9747,-0.0238,4.47,-0.2163,1.93,0.34,-0.166,0.0863,-0.2632,1.1874,-0.7698,20.2547,22.53,514826.0,True,True,3
3675,SMRT,Technology,Software - Application,USA,611510000.0,-999.0,361.34,-999.0,2.82,1.78,1.04,-999.0,0.8114,0.0022,0.5593,-0.1509,9.73,-0.1453,2.3,0.0,-0.2426,-0.0368,-0.2694,0.3968,-0.8012,0.4828,3.01,238435.0,True,False,4
2432,LSAK,Technology,Software - Infrastructure,South Africa,216460000.0,-999.0,50.93,-999.0,0.4,1.26,0.88,-999.0,0.2239,0.0163,0.2472,0.011,3.79,-0.1062,1.33,0.66,-0.0531,0.0,-0.2904,0.1567,-0.946,0.2852,3.47,1064171.0,True,False,4
3682,SNCR,Technology,Software - Infrastructure,USA,77260000.0,-999.0,-999.0,-999.0,0.33,1.97,1.69,0.4775,-0.0614,1.3778,0.5046,-0.1394,2.3,-0.2961,1.15,1.55,-0.1937,0.3611,-0.2925,1.7593,-0.9847,1.7593,7.45,845266.0,True,False,3
3234,POWW,Industrials,Aerospace & Defense,USA,262980000.0,-999.0,444.0,-999.0,1.74,0.72,0.42,0.2517,1.8871,0.0006,0.2436,-0.086,3.74,-0.0422,2.77,0.04,-0.1241,0.0541,-0.2952,0.414,-0.9889,87.8,2.22,128098.0,True,True,6
1892,HGBL,Financial,Capital Markets,USA,106250000.0,6.07,8.85,-999.0,1.8,1.87,0.42,-999.0,0.2276,0.0082,0.3624,-0.1037,0.57,0.3709,1.47,0.21,0.2971,0.0271,-0.299,0.2711,-0.9929,-999.0,2.86,155565.0,True,True,5
1471,FARM,Consumer Defensive,Packaged Foods,USA,77190000.0,-999.0,-999.0,-999.0,0.18,2.03,0.2,-0.2945,-0.1023,0.0251,0.4488,0.0142,2.47,-0.6415,0.66,1.27,-0.1723,0.1771,-0.3098,1.1257,-0.9056,1.1257,3.72,257766.0,True,False,1
1307,EHTH,Financial,Insurance Brokers,USA,206180000.0,-999.0,-999.0,-999.0,0.51,0.37,5.66,-999.0,0.2104,0.0033,0.6648,-0.1331,1.36,-0.0688,-999.0,0.12,-0.2382,-0.062,-0.3122,0.5114,-0.9522,1.7228,7.27,105705.0,True,True,4
2602,MMLP,Energy,Oil & Gas Midstream,USA,87550000.0,-999.0,28.12,-999.0,0.1,-999.0,0.0,-999.0,0.0228,0.0381,0.352,0.0113,2.78,-999.0,0.87,-999.0,-0.0062,-0.0735,-0.3182,0.1538,-0.954,1.4862,2.25,1019215.0,True,False,4
3150,PGRE,Real Estate,REIT - Office,USA,991120000.0,-999.0,-999.0,-999.0,1.35,0.29,2.16,-999.0,-0.006,0.0022,0.675,-0.0365,4.98,-0.0259,-999.0,1.12,-0.1255,-0.093,-0.3211,0.1733,-0.7736,0.1733,4.56,326490.0,True,False,2
3013,ORC,Real Estate,REIT - Mortgage,USA,448990000.0,-999.0,42.9,-999.0,2.12,0.94,3.83,0.2705,0.143,0.3524,0.2774,0.2352,2.3,-0.0863,-999.0,7.89,-0.1854,0.0459,-0.3223,0.4542,-0.8695,0.4542,8.58,346751.0,True,True,4
3685,SNDA,Healthcare,Medical Care Facilities,USA,75990000.0,-999.0,-999.0,-999.0,0.31,-999.0,2.68,0.1513,-0.1356,0.0017,0.7425,0.0082,3.02,-999.0,-999.0,-999.0,-0.1248,-0.018,-0.3278,0.5483,-0.9778,0.5483,9.29,10025455.0,True,True,4
311,ASAN,Technology,Software - Application,USA,3920000000.0,-999.0,-999.0,-999.0,6.2,11.79,2.38,-0.5876,0.6406,0.05,0.2428,0.0614,4.51,-0.7967,1.82,0.85,-0.4586,-0.0903,-0.3297,0.2315,-0.8792,0.5557,17.61,120807123.0,True,False,4
93,AEYE,Technology,Software - Application,USA,62660000.0,-999.0,47.91,-999.0,2.01,8.06,0.28,0.504,0.5553,0.0232,0.1486,-0.0273,2.1,-0.7528,0.75,0.11,-0.2329,0.138,-0.3321,0.4046,-0.9297,6.8074,5.27,508376.0,True,False,4
562,BLFS,Healthcare,Medical Instruments & Supplies,USA,808200000.0,-999.0,-999.0,-999.0,5.22,2.37,0.91,-0.7411,0.7447,0.9739,0.9809,0.052,7.82,-0.2762,1.72,0.13,-0.6604,0.1611,-0.3328,1.0112,-0.987,127.1429,17.94,9329481.0,True,True,4
1688,GCI,Communication Services,Publishing,USA,355820000.0,17.59,137.51,-999.0,0.13,1.09,0.74,-1.0116,0.2268,0.0153,0.6394,0.0045,17.93,0.0871,0.77,4.05,0.0102,0.0533,-0.3361,0.4753,-0.9073,2.7937,2.39,753800.0,True,False,2
325,ASPN,Industrials,Building Products & Equipment,USA,867760000.0,-999.0,-999.0,-999.0,4.05,1.95,1.24,-0.2042,0.1877,0.045,0.8834,0.0058,5.4,-0.1854,2.71,0.33,-0.2564,-0.1147,-0.3433,1.1352,-0.8277,6.1062,11.37,378338.0,True,False,4
3623,SIRI,Communication Services,Entertainment,USA,19850000000.0,15.97,16.36,2.28,2.22,-999.0,0.06,0.0466,0.0987,0.0001,0.1058,-0.0506,13.44,-999.0,0.39,-999.0,0.1405,-0.0045,-0.3497,0.5572,-0.9213,104.0802,5.17,1026900.0,True,True,6
2369,LFVN,Consumer Defensive,Packaged Foods,USA,71940000.0,24.12,8.6,2.01,0.34,2.64,1.35,-0.1319,0.0119,0.0211,0.293,0.0971,2.27,0.1,1.03,0.5,0.014,-0.075,-0.3567,0.943,-0.9583,11.4091,5.59,276952.0,True,True,4
3474,RRGB,Consumer Cyclical,Restaurants,USA,162690000.0,-999.0,-999.0,-999.0,0.13,-999.0,3.93,-999.0,0.0177,0.4867,0.7598,-0.1342,16.6,-2.4035,0.42,-999.0,-0.0401,-0.0235,-0.363,0.5133,-0.8894,1.6015,10.51,2996123.0,True,False,4
91,AES,Utilities,Utilities - Diversified,USA,11400000000.0,-999.0,8.93,-999.0,0.89,5.87,3.98,0.0038,0.0456,0.0255,0.9434,0.0033,3.24,-0.1271,0.74,6.52,-0.0439,-0.057,-0.3709,0.4891,-0.7662,17.5,17.02,708149.0,True,True,3
2365,LFMD,Healthcare,Health Information Services,USA,223050000.0,-999.0,-999.0,-999.0,1.64,-999.0,0.39,-0.6117,1.0652,0.0151,0.2495,-0.0227,2.77,-7.1995,0.65,-999.0,-0.2349,-0.1921,-0.3754,3.9912,-0.8277,36.9333,5.69,501018.0,True,False,4
2957,OFIX,Healthcare,Medical Devices,USA,518680000.0,-999.0,-999.0,-999.0,0.78,0.84,0.92,-999.0,0.0084,0.0052,0.9574,-0.0057,3.53,-0.2872,1.13,0.18,-0.2039,0.0982,-0.3762,0.4736,-0.8105,1.5084,14.11,101025.0,True,True,5
1898,HHS,Industrials,Conglomerates,USA,55230000.0,2.51,10.85,-999.0,0.28,2.69,1.98,-999.0,-0.0656,0.0261,0.3767,0.1782,1.41,2.7558,1.61,0.93,0.117,0.0645,-0.3826,0.53,-0.9757,5.9545,7.65,499095.0,True,True,4
2721,MYO,Healthcare,Medical Devices,USA,90170000.0,-999.0,-999.0,-999.0,4.87,8.18,0.42,0.5558,0.624,0.0393,0.388,-0.0051,0.75,-0.8336,2.52,0.06,-0.424,-0.1608,-0.3907,8.1644,-0.9951,8.2141,3.4,297497.0,True,False,5
4076,ULBI,Industrials,Electrical Equipment & Parts,USA,116180000.0,28.08,-999.0,1.6,0.77,0.95,0.57,-999.0,0.1219,0.0102,0.2894,-0.0228,2.89,0.0346,1.63,0.23,0.0273,0.0035,-0.4,0.842,-0.7151,3.6169,7.11,542033.0,True,True,5
1963,HRTG,Financial,Insurance - Property & Casualty,USA,176510000.0,5.56,4.46,-999.0,0.24,1.04,-999.0,-1.6874,0.0847,0.0091,0.3332,-0.1262,0.9,0.1997,-999.0,1.0,0.0372,-0.1692,-0.4004,2.1223,-0.7848,4.2411,5.87,499986.0,True,True,2
2636,MPAA,Consumer Cyclical,Auto Parts,USA,185310000.0,-999.0,7.62,-999.0,0.26,0.57,0.63,-999.0,0.0996,0.197,0.8199,0.0097,9.36,-0.0028,0.52,0.78,-0.0013,0.0071,-0.4045,1.2183,-0.7697,22.2615,9.45,1073777.0,True,True,4
1210,DOMO,Technology,Software - Application,USA,413810000.0,-999.0,-999.0,-999.0,1.3,-999.0,1.57,0.1432,0.2133,0.026,0.6505,0.0071,3.01,-999.0,0.56,-999.0,-0.2409,0.1453,-0.4081,0.4524,-0.8851,0.4829,11.3,1749437.0,True,False,5
682,BYON,Consumer Cyclical,Internet Retail,USA,1040000000.0,-999.0,-999.0,-999.0,0.66,2.02,7.18,0.2858,0.0788,0.2847,0.7,-0.1173,3.29,-0.2743,1.74,0.08,-0.1034,-0.0119,-0.4144,0.6776,-0.821,8.0909,23.0,2970954.0,True,True,5
3247,PRCH,Technology,Software - Application,USA,230370000.0,-999.0,-999.0,-999.0,0.61,-999.0,3.95,-999.0,0.6985,0.113,0.4782,-0.1374,5.1,-4.283,1.01,-999.0,-0.4395,-0.0108,-0.416,3.7071,-0.9153,3.7071,2.33,1874860.0,True,False,5
4068,UFI,Consumer Cyclical,Textile Manufacturing,USA,110710000.0,-999.0,9.4,-999.0,0.19,0.36,1.99,-999.0,-0.0027,0.1078,0.5645,-0.085,2.43,-0.1712,1.76,0.48,-0.0918,-0.0486,-0.42,0.0444,-0.9533,3.6288,6.11,2095403.0,True,True,4
1580,FNKO,Consumer Cyclical,Leisure,USA,391180000.0,-999.0,-999.0,-999.0,0.34,1.63,0.63,-999.0,0.2105,0.0886,0.6558,0.0526,8.34,-0.5812,0.58,1.68,-0.1631,0.0964,-0.4218,0.4725,-0.7506,1.4872,7.76,10196596.0,True,True,2
208,AMPY,Energy,Oil & Gas E&P,USA,231080000.0,0.63,5.52,0.04,0.71,0.67,0.16,-999.0,0.2776,0.0226,0.4056,0.0224,2.45,2.3235,0.72,0.37,1.102,-0.0165,-0.4223,0.0814,-0.7636,11.0,5.91,129249.0,True,True,5
3885,TELA,Healthcare,Medical Devices,USA,169960000.0,-999.0,-999.0,-999.0,3.2,5.56,2.38,-0.0237,0.5174,0.0032,0.6227,0.1728,4.62,-1.6249,4.43,1.33,-0.8243,0.1214,-0.4282,0.6388,-0.7052,0.6388,6.94,109602.0,True,False,3
2773,NEWT,Financial,Banks - Regional,USA,287150000.0,11.5,6.32,3.83,1.63,1.39,6.21,-0.099,0.128,0.0118,0.159,-0.1081,12.36,0.103,-999.0,5.22,0.143,-0.1352,-0.4407,0.0837,-0.7764,281.2726,11.65,232323.0,True,True,3
2711,MX,Technology,Semiconductors,South Korea,251550000.0,-999.0,-999.0,-999.0,1.02,0.73,4.3,-999.0,-0.1665,0.0235,0.7627,-0.0038,1.87,-0.072,5.12,0.01,-0.1123,-0.0764,-0.4443,0.0046,-0.7595,1.0935,6.49,310924.0,True,True,4
4190,VOXX,Technology,Consumer Electronics,USA,185090000.0,-999.0,-999.0,-999.0,0.37,0.59,0.46,-1.0406,0.032,0.0028,0.4294,-0.0792,9.21,-0.114,0.84,0.16,-0.0787,-0.1959,-0.4447,0.1304,-0.887,7.19,8.19,31672250.0,True,True,4
1050,CTV,Communication Services,Advertising Agencies,USA,212250000.0,-999.0,-999.0,-999.0,1.57,1.1,0.34,-999.0,0.3601,0.0059,0.2493,0.0711,4.02,-0.1693,4.37,0.11,-0.2496,0.0179,-0.4469,1.0133,-0.8542,1.0133,1.51,353335.0,True,False,4
212,AMRN,Healthcare,Drug Manufacturers - General,Ireland,486170000.0,-999.0,-999.0,-999.0,1.5,0.88,0.79,-0.0085,0.2237,0.1709,0.2818,-0.0729,5.38,-0.0921,1.74,0.02,-0.1623,0.2608,-0.4664,0.828,-0.9992,1.587,1.19,301076.0,True,True,5
1767,GME,Consumer Cyclical,Specialty Retail,USA,4500000000.0,-999.0,105.21,-999.0,0.79,3.56,3.98,-999.0,-0.0663,0.0001,0.2851,-0.0447,9.85,-0.0065,0.94,0.49,-0.0014,-0.0419,-0.4673,0.2457,-0.878,21.9261,14.73,111791.0,True,False,2
428,BALY,Consumer Cyclical,Resorts & Casinos,USA,515050000.0,-999.0,-999.0,-999.0,0.21,0.57,6.53,-999.0,0.7904,0.0124,0.6507,-0.1428,5.09,-0.3989,0.64,5.42,-0.1643,-0.0847,-0.4706,0.5508,-0.8513,0.5637,11.29,760257.0,True,False,3
1783,GOCO,Financial,Insurance Brokers,USA,115270000.0,-999.0,-999.0,-999.0,0.22,0.51,2.76,-999.0,0.4542,0.0043,0.5518,-0.0809,13.24,-0.4465,-999.0,2.6,-0.2391,-0.1001,-0.4718,0.7121,-0.9693,1.4458,12.07,100275.0,True,False,3
4150,VFC,Consumer Cyclical,Apparel Manufacturing,USA,6480000000.0,-999.0,8.92,-999.0,0.57,2.93,1.29,-0.3444,0.0021,0.0036,0.8877,0.0046,3.63,-0.0813,0.78,3.53,-0.0189,-0.0488,-0.4812,0.2973,-0.8337,36.4702,16.67,597804.0,True,True,2
3946,TNDM,Healthcare,Medical Devices,USA,1510000000.0,-999.0,-999.0,-999.0,1.96,4.82,7.64,0.3516,0.4741,0.0262,1.0758,0.0197,3.41,-0.5666,3.28,1.33,-0.2702,-0.0603,-0.4947,0.6802,-0.9232,9.8505,23.22,241507.0,True,True,4
3434,RMBL,Consumer Cyclical,Auto & Truck Dealerships,USA,239530000.0,-999.0,-999.0,-999.0,0.17,0.65,1.7,0.0085,1.5075,0.352,0.3821,0.0446,3.79,-1.0017,0.31,4.67,-0.233,-0.0201,-0.4948,0.3392,-0.9689,1.2767,6.83,18938090.0,True,False,4
3049,PACK,Consumer Cyclical,Packaging & Containers,USA,340350000.0,-999.0,-999.0,-999.0,1.05,0.59,0.63,-3.7924,0.0626,0.0182,0.864,-0.0538,2.85,-0.0422,2.28,0.72,-0.0772,-0.1379,-0.5,0.5665,-0.9041,0.5665,4.12,550472.0,True,False,5
1850,HAIN,Consumer Defensive,Packaged Foods,USA,990400000.0,-999.0,19.62,-999.0,0.56,1.01,0.43,-999.0,-0.0597,0.0674,0.9488,0.0563,2.53,-0.1324,1.02,0.94,-0.0751,0.0258,-0.5014,0.1795,-0.8437,7.832,11.04,824794.0,True,True,3
1360,EP,Energy,Oil & Gas E&P,USA,149010000.0,-999.0,-999.0,-999.0,3.82,7.92,0.48,-999.0,5.0266,0.2258,0.4248,0.5859,7.5,-0.4623,1.0,0.89,-0.2552,-0.2248,-0.5142,0.1502,-0.9362,202.4375,6.51,10076607.0,True,True,3
2288,KRMD,Healthcare,Medical Instruments & Supplies,USA,97730000.0,-999.0,-999.0,-999.0,3.41,3.56,0.24,-999.0,0.1344,0.0245,0.5608,0.0109,8.59,-0.2754,4.03,0.17,-0.2878,-0.0505,-0.5223,0.0817,-0.8333,141.6667,2.14,114742.0,True,False,4
1096,CYH,Healthcare,Medical Care Facilities,USA,517100000.0,2.09,35.83,-999.0,0.04,-999.0,0.67,-999.0,-0.0345,0.1003,0.8052,-0.0765,2.82,-999.0,1.36,-999.0,0.0188,0.187,-0.5281,0.8806,-0.9293,1.1117,3.78,2110000.0,True,True,4
3805,SUP,Consumer Cyclical,Auto Parts,USA,96070000.0,-999.0,-999.0,-999.0,0.06,-999.0,6.28,-999.0,0.0395,0.0197,0.2573,-0.0035,1.7,-0.5159,1.49,4.07,-0.0759,0.1217,-0.5366,0.3735,-0.9364,11.2054,3.42,204213.0,True,True,4
1953,HQI,Industrials,Staffing & Employment Services,USA,180560000.0,20.26,15.28,-999.0,4.99,2.87,0.08,0.2251,0.2907,0.0056,0.1067,-0.0724,6.42,0.1449,1.51,0.24,0.2444,-0.1243,-0.5579,0.04,-0.8777,20.65,12.99,829608.0,True,True,6
3432,RMAX,Real Estate,Real Estate Services,USA,192610000.0,-999.0,7.88,-999.0,0.58,0.46,6.62,-0.109,0.1453,0.2758,0.9045,-0.08,1.0,-0.1306,-999.0,1.17,-0.1799,-0.0513,-0.5651,0.2265,-0.8436,0.2265,10.56,4078251.0,True,True,3
3181,PL,Industrials,Aerospace & Defense,USA,642740000.0,-999.0,-999.0,-999.0,2.99,1.2,1.13,0.322,-0.0957,0.0008,0.2668,0.0874,5.09,-0.2629,2.94,0.05,-0.6902,-0.049,-0.5656,0.1307,-0.8148,0.1307,2.25,254640.0,True,False,4
9,AAP,Consumer Cyclical,Specialty Retail,USA,4030000000.0,21.73,18.43,-999.0,0.36,1.52,5.34,0.0518,0.0392,0.0164,0.99,-0.0344,3.04,0.0694,0.27,1.51,0.0165,0.1317,-0.5715,0.4203,-0.7228,4.498,67.79,580486.0,True,True,3
1214,DOUG,Real Estate,Real Estate Services,USA,189780000.0,-999.0,-999.0,-999.0,0.2,0.77,1.48,-999.0,0.1573,0.0093,0.5076,-0.0028,0.46,-0.174,-999.0,0.55,-0.0491,-0.0925,-0.5736,0.3631,-0.8225,0.3631,2.14,315273.0,True,True,4
2835,NOTV,Healthcare,Diagnostics & Research,USA,92590000.0,-999.0,-999.0,-999.0,0.16,0.34,1.38,-1.8424,1.3362,0.0212,0.2504,-0.0915,4.02,-0.334,1.05,1.55,-0.1837,0.0849,-0.5739,1.2298,-0.9408,4.9833,3.59,163981.0,True,True,4
